state,district,latitude,longitude
Melaka,Alor Gajah,2.3804,102.2089
Selangor,Ampang Jaya,3.158800,101.757446
Kedah,Baling,6.4167,100.7667
Pulau Pinang,Barat Daya,5.2500,100.2833
Perak,Batu Gajah,3.3667,101.5167
Johor,Batu Pahat,1.8520,102.5086
Sarawak,Belaga,2.0333,112.1333
Sabah,Beluran,4.9333,118.2667
Pahang,Bera,3.8333,103.0667
Terengganu,Besut,5.4667,102.6167
Sarawak,Betong,1.2167,111.0500
Sarawak,Dalat,2.3667,113.3333
Perak,Gerik,5.8333,100.5667
Selangor,Gombak,3.1833,101.5333
Kelantan,Gua Musang,5.3167,102.1500
Perak,Hilir Perak,3.0167,101.4667
Perak,Ipoh,4.5921,101.5901
Johor,Iskandar Puteri,1.2800,103.7400
Kelantan,Jeli,6.1667,101.6667
Pahang,Jerantut,4.0167,103.3333
Sarawak,Julau,2.3333,112.5333
Perak,Kampar,4.3167,101.5500
Sarawak,Kanowit,2.0333,111.8667
Sabah,Keningau,4.9167,115.3667
Perak,Kerian,4.8833,100.8000
Sabah,Kota Belud,5.8333,118.1667
Sabah,Kota Kinabalu,5.9788,118.0894
Sabah,Kota Marudu,6.2000,117.1000
Pahang,Kuala Lipis,3.3167,102.3167
Kedah,Kuala Muda,6.1833,100.5500
Negeri Sembilan,Kuala Pilah,2.7333,101.9667
Sabah,Kudat,6.8833,118.3500
Johor,Kulaijaya,1.8686,103.3300
Kedah,Kulim,5.9667,100.5667
Sarawak,Lubok Antu,0.9667,111.2333
Sarawak,Marudi,3.2000,113.0667
Sarawak,Matu Daro,2.0667,111.6667
Sarawak,Mukah,2.3000,112.2667
Johor,Nusajaya,1.3200,103.7200
